STATE/UT,YEAR,Population,Area(sq km),Literacy rate
A & N ISLANDS,2001.0,2838416.0,8249.0,81.3
A & N ISLANDS,2002.0,2844832.0,8249.0,81.797
A & N ISLANDS,2003.0,2851248.0,8249.0,82.294
A & N ISLANDS,2004.0,2857664.0,8249.0,82.791
A & N ISLANDS,2005.0,2864080.0,8249.0,83.288
A & N ISLANDS,2006.0,2870496.0,8249.0,83.785
A & N ISLANDS,2007.0,2876912.0,8249.0,84.282
A & N ISLANDS,2008.0,2883328.0,8249.0,84.779
A & N ISLANDS,2009.0,2889744.0,8249.0,85.276
A & N ISLANDS,2010.0,2896160.0,8249.0,85.773
A & N ISLANDS,2011.0,2902576.0,8249.0,86.27
A & N ISLANDS,2012.0,2908992.0,8249.0,86.336
ANDHRA PRADESH,2001.0,64560519.0,275047.0,60.47
ANDHRA PRADESH,2002.0,65700272.0,275047.0,61.189
ANDHRA PRADESH,2003.0,66860146.0,275047.0,61.908
ANDHRA PRADESH,2004.0,68040496.0,275047.0,62.626999999999995
ANDHRA PRADESH,2005.0,69241685.0,275047.0,63.346
ANDHRA PRADESH,2006.0,70464079.0,275047.0,64.065
ANDHRA PRADESH,2007.0,71708053.0,275047.0,64.78399999999999
ANDHRA PRADESH,2008.0,72973989.0,275047.0,65.503
ANDHRA PRADESH,2009.0,74262273.0,275047.0,66.222
ANDHRA PRADESH,2010.0,75573301.0,275047.0,66.941
ANDHRA PRADESH,2011.0,76907474.0,275047.0,67.66
ANDHRA PRADESH,2012.0,78265200.0,275047.0,67.52799999999999
ARUNACHAL PRADESH,2001.0,1176195.0,83743.0,54.34
ARUNACHAL PRADESH,2002.0,1209957.0,83743.0,55.601000000000006
ARUNACHAL PRADESH,2003.0,1244688.0,83743.0,56.862
ARUNACHAL PRADESH,2004.0,1280416.0,83743.0,58.123000000000005
ARUNACHAL PRADESH,2005.0,1317169.0,83743.0,59.384
ARUNACHAL PRADESH,2006.0,1354978.0,83743.0,60.645
ARUNACHAL PRADESH,2007.0,1393871.0,83743.0,61.906000000000006
ARUNACHAL PRADESH,2008.0,1433881.0,83743.0,63.167
ARUNACHAL PRADESH,2009.0,1475040.0,83743.0,64.428
ARUNACHAL PRADESH,2010.0,1517380.0,83743.0,65.68900000000001
ARUNACHAL PRADESH,2011.0,1560935.0,83743.0,66.95
ARUNACHAL PRADESH,2012.0,1605740.0,83743.0,66.64
ASSAM,2001.0,28583361.0,78438.0,63.25
ASSAM,2002.0,29233777.0,78438.0,64.27
ASSAM,2003.0,29898992.0,78438.0,65.29
ASSAM,2004.0,30579345.0,78438.0,66.31
ASSAM,2005.0,31275179.0,78438.0,67.33
ASSAM,2006.0,31986847.0,78438.0,68.35
ASSAM,2007.0,32714708.0,78438.0,69.37
ASSAM,2008.0,33459133.0,78438.0,70.39
ASSAM,2009.0,34220496.0,78438.0,71.41
ASSAM,2010.0,34999185.0,78438.0,72.43
ASSAM,2011.0,35795593.0,78438.0,73.45
ASSAM,2012.0,36610123.0,78438.0,73.2
BIHAR,2001.0,64747857.0,94163.0,47.0
BIHAR,2002.0,66141779.0,94163.0,48.482
BIHAR,2003.0,67565710.0,94163.0,49.964
BIHAR,2004.0,69020296.0,94163.0,51.446
BIHAR,2005.0,70506197.0,94163.0,52.928
BIHAR,2006.0,72024087.0,94163.0,54.41
BIHAR,2007.0,73574655.0,94163.0,55.891999999999996
BIHAR,2008.0,75158604.0,94163.0,57.374
BIHAR,2009.0,76776653.0,94163.0,58.856
BIHAR,2010.0,78429537.0,94163.0,60.338
BIHAR,2011.0,80118004.0,94163.0,61.82
BIHAR,2012.0,81842822.0,94163.0,61.816
CHANDIGARH,2001.0,1298639.0,114.0,81.94
CHANDIGARH,2002.0,1319278.0,114.0,82.389
CHANDIGARH,2003.0,1339917.0,114.0,82.838
CHANDIGARH,2004.0,1360556.0,114.0,83.287
CHANDIGARH,2005.0,1381195.0,114.0,83.736
CHANDIGARH,2006.0,1401834.0,114.0,84.185
CHANDIGARH,2007.0,1422473.0,114.0,84.634
CHANDIGARH,2008.0,1443112.0,114.0,85.083
CHANDIGARH,2009.0,1463751.0,114.0,85.53200000000001
CHANDIGARH,2010.0,1484390.0,114.0,85.98100000000001
CHANDIGARH,2011.0,1505029.0,114.0,86.43
CHANDIGARH,2012.0,1525668.0,114.0,86.34400000000001
CHHATTISGARH,2001.0,19592870.0,135192.0,64.66
CHHATTISGARH,2002.0,19998669.0,135192.0,65.298
CHHATTISGARH,2003.0,20412873.0,135192.0,65.93599999999999
CHHATTISGARH,2004.0,20835655.0,135192.0,66.574
CHHATTISGARH,2005.0,21267194.0,135192.0,67.212
CHHATTISGARH,2006.0,21707671.0,135192.0,67.85
CHHATTISGARH,2007.0,22157271.0,135192.0,68.488
CHHATTISGARH,2008.0,22616183.0,135192.0,69.126
CHHATTISGARH,2009.0,23084600.0,135192.0,69.76400000000001
CHHATTISGARH,2010.0,23562718.0,135192.0,70.402
CHHATTISGARH,2011.0,24050739.0,135192.0,71.04
CHHATTISGARH,2012.0,24548867.0,135192.0,70.89200000000001
DAMAN & DIU,2001.0,143191.0,112.0,78.18
DAMAN & DIU,2002.0,147405.0,112.0,79.069
DAMAN & DIU,2003.0,151742.0,112.0,79.958
DAMAN & DIU,2004.0,156207.0,112.0,80.84700000000001
DAMAN & DIU,2005.0,160803.0,112.0,81.736
DAMAN & DIU,2006.0,165535.0,112.0,82.625
DAMAN & DIU,2007.0,170406.0,112.0,83.514
DAMAN & DIU,2008.0,175420.0,112.0,84.40299999999999
DAMAN & DIU,2009.0,180582.0,112.0,85.292
DAMAN & DIU,2010.0,185895.0,112.0,86.181
DAMAN & DIU,2011.0,191365.0,112.0,87.07
DAMAN & DIU,2012.0,196996.0,112.0,87.076
DELHI,2001.0,15593265.0,1483.0,81.67
DELHI,2002.0,16213417.0,1483.0,82.137
DELHI,2003.0,16858232.0,1483.0,82.604
DELHI,2004.0,17528693.0,1483.0,83.071
DELHI,2005.0,18225817.0,1483.0,83.538
DELHI,2006.0,18950667.0,1483.0,84.005
DELHI,2007.0,19704344.0,1483.0,84.47200000000001
DELHI,2008.0,20487995.0,1483.0,84.93900000000001
DELHI,2009.0,21302813.0,1483.0,85.406
DELHI,2010.0,22150036.0,1483.0,85.873
DELHI,2011.0,23030953.0,1483.0,86.34
DELHI,2012.0,23946906.0,1483.0,86.312
GOA,2001.0,1470903.0,3702.0,82.01
GOA,2002.0,1497319.0,3702.0,82.549
GOA,2003.0,1524210.0,3702.0,83.08800000000001
GOA,2004.0,1551584.0,3702.0,83.62700000000001
GOA,2005.0,1579450.0,3702.0,84.16600000000001
GOA,2006.0,1607815.0,3702.0,84.70500000000001
GOA,2007.0,1636691.0,3702.0,85.244
GOA,2008.0,1666085.0,3702.0,85.783
GOA,2009.0,1696007.0,3702.0,86.322
GOA,2010.0,1726466.0,3702.0,86.861
GOA,2011.0,1757472.0,3702.0,87.4
GOA,2012.0,1789035.0,3702.0,87.66000000000001
GUJARAT,2001.0,52549873.0,196244.0,69.14
GUJARAT,2002.0,53718781.0,196244.0,70.157
GUJARAT,2003.0,54913690.0,196244.0,71.174
GUJARAT,2004.0,56135179.0,196244.0,72.191
GUJARAT,2005.0,57383838.0,196244.0,73.208
GUJARAT,2006.0,58660271.0,196244.0,74.225
GUJARAT,2007.0,59965098.0,196244.0,75.242
GUJARAT,2008.0,61298948.0,196244.0,76.259
GUJARAT,2009.0,62662469.0,196244.0,77.276
GUJARAT,2010.0,64056319.0,196244.0,78.293
GUJARAT,2011.0,65481174.0,196244.0,79.31
GUJARAT,2012.0,66937724.0,196244.0,79.048
HARYANA,2001.0,19378423.0,44212.0,67.91
HARYANA,2002.0,19874952.0,44212.0,68.783
HARYANA,2003.0,20384203.0,44212.0,69.65599999999999
HARYANA,2004.0,20906502.0,44212.0,70.529
HARYANA,2005.0,21442185.0,44212.0,71.402
HARYANA,2006.0,21991593.0,44212.0,72.275
HARYANA,2007.0,22555078.0,44212.0,73.148
HARYANA,2008.0,23133001.0,44212.0,74.021
HARYANA,2009.0,23725733.0,44212.0,74.894
HARYANA,2010.0,24333651.0,44212.0,75.767
HARYANA,2011.0,24957147.0,44212.0,76.64
HARYANA,2012.0,25596618.0,44212.0,76.432
HIMACHAL PRADESH,2001.0,5239783.0,55673.0,76.48
HIMACHAL PRADESH,2002.0,5336020.0,55673.0,77.21000000000001
HIMACHAL PRADESH,2003.0,5434025.0,55673.0,77.94
HIMACHAL PRADESH,2004.0,5533829.0,55673.0,78.67
HIMACHAL PRADESH,2005.0,5635467.0,55673.0,79.4
HIMACHAL PRADESH,2006.0,5738972.0,55673.0,80.13
HIMACHAL PRADESH,2007.0,5844377.0,55673.0,80.86
HIMACHAL PRADESH,2008.0,5951719.0,55673.0,81.59
HIMACHAL PRADESH,2009.0,6061032.0,55673.0,82.32000000000001
HIMACHAL PRADESH,2010.0,6172353.0,55673.0,83.05
HIMACHAL PRADESH,2011.0,6285718.0,55673.0,83.78
HIMACHAL PRADESH,2012.0,6401165.0,55673.0,83.584
JAMMU & KASHMIR,2001.0,7886444.0,222236.0,55.52
JAMMU & KASHMIR,2002.0,8075585.0,222236.0,56.842
JAMMU & KASHMIR,2003.0,8269262.0,222236.0,58.164
JAMMU & KASHMIR,2004.0,8467585.0,222236.0,59.486000000000004
JAMMU & KASHMIR,2005.0,8670664.0,222236.0,60.808
JAMMU & KASHMIR,2006.0,8878613.0,222236.0,62.13
JAMMU & KASHMIR,2007.0,9091549.0,222236.0,63.452
JAMMU & KASHMIR,2008.0,9309593.0,222236.0,64.774
JAMMU & KASHMIR,2009.0,9532865.0,222236.0,66.096
JAMMU & KASHMIR,2010.0,9761493.0,222236.0,67.41799999999999
JAMMU & KASHMIR,2011.0,9995603.0,222236.0,68.74
JAMMU & KASHMIR,2012.0,10235329.0,222236.0,68.432
JHARKHAND,2001.0,29234973.0,79716.0,53.56
JHARKHAND,2002.0,29846444.0,79716.0,54.967
JHARKHAND,2003.0,30470704.0,79716.0,56.374
JHARKHAND,2004.0,31108021.0,79716.0,57.781
JHARKHAND,2005.0,31758668.0,79716.0,59.188
JHARKHAND,2006.0,32422924.0,79716.0,60.595
JHARKHAND,2007.0,33101073.0,79716.0,62.001999999999995
JHARKHAND,2008.0,33793406.0,79716.0,63.409
JHARKHAND,2009.0,34500220.0,79716.0,64.816
JHARKHAND,2010.0,35221818.0,79716.0,66.223
JHARKHAND,2011.0,35958508.0,79716.0,67.63
JHARKHAND,2012.0,36710606.0,79716.0,67.384
KARNATAKA,2001.0,53929435.0,191791.0,66.06
KARNATAKA,2002.0,54996878.0,191791.0,67.014
KARNATAKA,2003.0,56085450.0,191791.0,67.968
KARNATAKA,2004.0,57195569.0,191791.0,68.922
KARNATAKA,2005.0,58327660.0,191791.0,69.876
KARNATAKA,2006.0,59482159.0,191791.0,70.83
KARNATAKA,2007.0,60659510.0,191791.0,71.78399999999999
KARNATAKA,2008.0,61860164.0,191791.0,72.738
KARNATAKA,2009.0,63084584.0,191791.0,73.692
KARNATAKA,2010.0,64333238.0,191791.0,74.646
KARNATAKA,2011.0,65606608.0,191791.0,75.6
KARNATAKA,2012.0,66905182.0,191791.0,75.56
KERALA,2001.0,39544478.0,38852.0,90.86
KERALA,2002.0,40154161.0,38852.0,91.16499999999999
KERALA,2003.0,40773243.0,38852.0,91.47
KERALA,2004.0,41401871.0,38852.0,91.775
KERALA,2005.0,42040190.0,38852.0,92.08
KERALA,2006.0,42688351.0,38852.0,92.38499999999999
KERALA,2007.0,43346504.0,38852.0,92.69
KERALA,2008.0,44014805.0,38852.0,92.995
KERALA,2009.0,44693410.0,38852.0,93.3
KERALA,2010.0,45382477.0,38852.0,93.60499999999999
KERALA,2011.0,46082168.0,38852.0,93.91
KERALA,2012.0,46792647.0,38852.0,93.928
LAKSHADWEEP,2001.0,43770.0,32.0,86.66
LAKSHADWEEP,2002.0,44667.0,32.0,87.222
LAKSHADWEEP,2003.0,45583.0,32.0,87.78399999999999
LAKSHADWEEP,2004.0,46518.0,32.0,88.346
LAKSHADWEEP,2005.0,47472.0,32.0,88.908
LAKSHADWEEP,2006.0,48445.0,32.0,89.47
LAKSHADWEEP,2007.0,49439.0,32.0,90.032
LAKSHADWEEP,2008.0,50453.0,32.0,90.594
LAKSHADWEEP,2009.0,51487.0,32.0,91.156
LAKSHADWEEP,2010.0,52543.0,32.0,91.718
LAKSHADWEEP,2011.0,53621.0,32.0,92.28
LAKSHADWEEP,2012.0,54721.0,32.0,92.184
MADHYA PRADESH,2001.0,59348162.0,308252.0,63.74
MADHYA PRADESH,2002.0,60735061.0,308252.0,64.429
MADHYA PRADESH,2003.0,62154371.0,308252.0,65.118
MADHYA PRADESH,2004.0,63606849.0,308252.0,65.807
MADHYA PRADESH,2005.0,65093269.0,308252.0,66.496
MADHYA PRADESH,2006.0,66614425.0,308252.0,67.185
MADHYA PRADESH,2007.0,68171129.0,308252.0,67.874
MADHYA PRADESH,2008.0,69764211.0,308252.0,68.563
MADHYA PRADESH,2009.0,71394522.0,308252.0,69.252
MADHYA PRADESH,2010.0,73062932.0,308252.0,69.941
MADHYA PRADESH,2011.0,74770330.0,308252.0,70.63
MADHYA PRADESH,2012.0,76517628.0,308252.0,70.36399999999999
MAHARASHTRA,2001.0,79091120.0,307713.0,76.84
MAHARASHTRA,2002.0,80801910.0,307713.0,77.39
MAHARASHTRA,2003.0,82549705.0,307713.0,77.94
MAHARASHTRA,2004.0,84335307.0,307713.0,78.49000000000001
MAHARASHTRA,2005.0,86159532.0,307713.0,79.04
MAHARASHTRA,2006.0,88023216.0,307713.0,79.59
MAHARASHTRA,2007.0,89927213.0,307713.0,80.14
MAHARASHTRA,2008.0,91872395.0,307713.0,80.69
MAHARASHTRA,2009.0,93859652.0,307713.0,81.24000000000001
MAHARASHTRA,2010.0,95889894.0,307713.0,81.79
MAHARASHTRA,2011.0,97964052.0,307713.0,82.34
MAHARASHTRA,2012.0,100083076.0,307713.0,82.33200000000001
MANIPUR,2001.0,2346764.0,22327.0,70.5
MANIPUR,2002.0,2409061.0,22327.0,71.435
MANIPUR,2003.0,2473013.0,22327.0,72.37
MANIPUR,2004.0,2538662.0,22327.0,73.30499999999999
